day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0.201048,0,0,0,0.16845772,0,0.245903,0,0.172291,0.271667,0,0.843378,0.310353,0.187433,0.474562,0.835827,0.478528,2.2923120001,0.392676,0.356542,0.551614,0.159174,0.595402,0,0
0.3,0.200092,0.402096,0.237007,0.156528,0.120304,0.17984,0.446046,1.229515,0.506746,0.689164,1.086668,0.105506,2.108445,0.931059,0.562299,0.949124,2.12755964,1.435584,7.64104,1.047136,0.713084,1.654842,0.79587,1.786206,0,0.271015
0.7,0.400184,1.206288,0.711021,0.469584,0.240608,0.53952,1.338138,2.704933,1.266865,1.550619,2.71667,0.21330561,4.21689,1.862118,1.124598,1.898248,4.736353,3.349696,18.338496,2.356056,2.139252,3.585491,1.910088,4.167814,0.096754,0.54203
1.5,0.900414,2.412576,1.422042,1.095696,0.60152,1.25432708,2.899299,5.901672,2.787103,3.618111,6.248341,0.55734691,9.27001072,3.724236,2.436629,4.033777,10.308533,7.17792,39.733408,5.104788,4.991588,7.998403,4.138524,8.633329,0.2805866,1.08406
3.1,1.900874,5.0262,3.1284924,2.504448,1.30301093,2.51776,6.244644,12.786956,6.334325,7.580804,13.311683,1.266072,19.39054673,7.758825,5.060691,8.3522912,21.731502,15.312896,84.815544,10.765867,10.69626,17.100034,8.8819092,18.48227042,0.5756863,2.45462157
6.3,4.104109244,11.05764,6.88900347,5.48068462,2.766992,5.52495797,13.66309326,27.65896452,13.69513548,16.539936,29.068369,2.75462404,41.74006372,16.77147612,11.06300969,18.1282684,47.084921,33.257696,184.6266290001,23.429668,23.32378916,37.233945,19.2759714,40.23925183,1.3206921,5.45127314
11.0915533646,8.100761674,21.512136,13.49623195,10.6659502,5.40181904,10.72438278,26.77449805,53.88861786,26.857538,32.218417,56.506736,5.39456765,80.89996255,32.587065,21.55925769,35.24413787,91.35842391,64.6252064,358.842341,45.550416,45.637376,72.537241,37.5809814,78.295363,2.5688187,10.86382986
16.67322264,13.604773837,36.18864,22.73950495,18.16716879,9.0228,17.94757671,45.26193094,90.77919083,45.33427677,54.271665,95.26456133,9.09415848,135.783858,54.67799154,36.21027052,59.28861253,153.53888709,108.745488,603.451134,76.604543,76.77537733,121.906694,63.3671694,131.68307567,4.3781185,18.21995129
22.6311213331,20.808085837,55.42738708,34.66885728,27.73521837,13.82648789,27.56332557,69.17234415,138.96593288,69.41120851,83.03519405,145.86706787,13.94743448,207.77832066,83.5780629,55.48909338,90.67297947,234.69009036,166.28848,922.1780150001,117.050171,117.42116533,186.41488678,96.9210486,201.34510967,6.7631046,27.76742257
28.4459036753,29.324594222,78.23860247,49.08941653,39.31388113,19.57566355,38.91373367,97.91883505,196.5021119,98.07484123,117.42085048,206.195253,19.69292426,293.3954822,118.06448826,78.3960836,128.10010253,331.39274145,235.0290272,1301.84219,165.25115,166.0594365,263.48762067,136.9373922,284.42849708,9.5496198,39.42106757
33.8277901486,39.021645407,103.941816,65.21905958,52.1800418,25.97888631,51.66416202,130.05371047,261.16435494,130.50008848,155.98683063,274.0848363,26.165488,389.4905433,156.8834415,104.23059876,170.16211447,439.77164245,312.0481088,1726.779527,219.276823,220.64007433,349.64666294,181.856295,377.70814375,12.723151,52.251692
38.7317887418,49.52795757,131.94934893,82.78391169,66.41086209,32.96499042,65.53005367,165.09571026,331.67704019,165.72543223,197.99863079,347.98731587,33.25503248,494.08370984,199.19696952,132.2339815,216.05225987,557.80054609,395.98192,2188.966934,278.047331,280.18258833,443.6355595,230.8500522,479.37303525,16.109541,66.36770186
43.2206481289,60.929496163,162.23027077,101.80504015,81.62604507,40.54414242,80.5888081,203.03309636,407.92746211,203.83533012,243.37463942,428.10191417,40.94779604,607.46087267,245.12921352,162.62044095,265.73890127,685.27682764,486.7586816,2687.4492810001,341.497228,344.5087075,545.11721289,283.7913246,589.2991295,19.8587585,81.61423143
47.3792499079,73.239600652,195.07842093,122.44308303,98.35249487,48.73159211,96.92465417,244.27278794,490.66357565,245.2065933,292.59545774,514.89952067,49.28277004,730.10804623,294.82914294,195.6309624,319.60168827,823.03631409,584.9287008,3225.9515750001,410.01919,414.2126685,655.02630239,341.109882,708.35472108,23.9079134,98.17711957
50,82.039943245,218.43091939,137.14541726,110.11634569,54.61462715,108.45945519,273.500539,549.41390073,274.63034502,327.56146279,576.56792967,55.15899552,817.31904925,330.22179906,219.0645501,357.89884167,920.87872927,654.6741568,3607.6215230001,458.678291,463.7720065,733.06436078,381.7947564,792.87699667,26.7379679,110.086293
