day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,8,0,0,0,11,1,0,0,2,0,10,8,1,6,3,20,9,3,15,17,0,2,0,8
2,0,6,10,2,0,2,14,10,0,1,7,2,14,10,4,8,9,24,22,7,25,26,0,6,1,9
3,0,9,11,2,0,2,16,13,3,4,18,2,17,13,7,13,23,29,44,10,29,44,4,7,1,11
4,1,10,14,3,1,3,19,15,3,9,25,3,23,13,7,23,29,35,65,12,33,57,5,9,1,16
5,1,12,15,5,2,4,25,19,9,11,27,3,35,15,9,30,37,44,90,19,39,70,6,15,1,20
6,1,17,18,6,2,4,25,22,13,11,33,3,41,20,11,30,49,48,111,20,42,75,9,17,2,26
7,1,17,20,6,2,4,25,30,13,17,33,3,50,24,11,30,49,48,136,22,42,75,10,20,5,26
8,3,19,21,8,12,4,37,31,14,19,34,4,53,26,12,38,52,57,146,26,50,86,12,21,7,29
9,3,20,21,8,16,4,40,31,19,22,40,8,58,26,16,41,62,65,162,29,60,92,12,23,8,32
10,3,22,23,8,20,6,45,34,27,31,42,8,75,29,17,52,69,68,198,37,77,113,17,27,9,36
11,3,23,26,10,21,9,48,37,28,34,43,10,85,36,25,64,81,78,232,38,82,124,18,33,13,38
12,3,26,27,11,21,13,50,41,36,34,51,10,89,41,27,68,86,86,264,41,92,130,20,39,13,39
13,3,29,28,14,21,13,50,46,42,36,54,10,100,41,29,68,91,86,283,41,92,133,21,44,15,42
14,3,33,31,14,21,14,50,47,42,36,57,10,101,41,29,68,91,86,290,41,105,133,22,44,15,42
15,3,33,31,15,21,16,56,49,42,37,58,13,118,43,30,86,96,98,303,41,112,154,24,46,17,43
16,3,37,32,19,21,17,59,52,43,38,60,13,128,54,34,88,102,99,325,47,121,167,33,52,19,47
17,4,41,34,20,22,22,64,66,48,42,61,14,142,60,36,91,113,101,354,56,138,184,36,54,21,56
18,5,45,38,20,24,29,68,79,60,46,62,14,152,66,41,98,120,107,402,62,152,200,48,65,21,66
19,6,46,38,22,24,31,73,92,60,50,65,15,164,76,48,103,134,118,448,68,177,215,58,71,24,80
20,6,47,39,22,24,32,74,97,60,56,70,15,175,78,51,103,137,118,490,81,187,234,61,75,24,85
21,6,52,39,22,24,32,74,102,60,58,70,15,175,81,51,103,143,118,518,82,192,234,61,77,24,85
22,7,52,40,22,29,33,83,102,70,59,79,19,193,82,53,119,148,131,537,85,203,247,61,77,24,85
23,7,56,43,24,30,34,87,110,75,64,82,19,212,90,57,125,154,131,561,92,221,255,63,84,24,88
24,8,56,49,27,31,36,97,120,76,73,87,22,222,101,62,128,165,136,651,98,231,281,68,88,24,97
25,10,61,50,28,31,39,101,132,81,81,93,24,234,103,78,133,172,145,732,107,252,296,75,99,24,103
26,16,64,54,31,32,45,103,155,91,81,99,24,240,109,85,144,188,159,784,122,271,309,76,105,26,108
27,16,68,57,31,32,45,103,173,103,89,116,24,251,112,88,144,200,159,847,128,286,325,87,107,26,112
28,19,72,59,33,32,45,103,176,103,89,119,24,251,114,89,144,205,159,878,134,291,325,90,113,26,112
29,19,72,60,35,32,45,109,180,106,90,121,25,266,124,93,154,210,179,905,152,303,345,94,114,27,125
30,27,82,63,43,33,50,112,186,117,94,130,25,285,133,99,162,233,191,1008,165,326,362,103,126,28,132
31,35,86,67,44,34,53,116,216,132,97,145,26,300,144,108,170,257,209,1098,187,347,391,111,135,31,138
