#time,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0.014494,-0.037472,-0.00664201,0.070192,0.001904,-0.01472,0.111257,0.034602,0.0714,0.015273,0.102149,0.015998,-0.21053199,-0.12389899,-0.032986,-0.11354,-0.127705,-0.00563199,0.051504,-0.034624,0.121794,-0.033774,0.049218,-0.140538,0.031558,0.057555
0.15,0.11454,0.163576,0.23036499,0.070192,0.001904,0.16512,0.33428,0.526408,0.324773,0.359855,0.645483,0.015998,1.05453501,0.49680701,0.154447,0.361022,0.986731,0.71216001,3.872024,0.488944,0.478336,0.793647,0.367566,0.752565,0.031558,0.057555
0.45,0.314632,0.76672,0.46737199,0.383248,0.122208,0.34496,1.003349,1.755923,0.831519,1.049019,2.003818,0.22701,2.74129101,1.11751301,0.716746,1.08868373,2.936994,2.14774401,12.277168,1.53608,1.547962,2.448489,1.32261,2.538771,0.1234743,0.32857
1.05,0.61477,1.77196,1.15469229,0.852832,0.46617577,0.88448,2.118464,4.214953,2.098384,2.599638,4.448821,0.438022,6.53649201,2.66927801,1.653911,2.733832,7.116129,5.01891201,28.323352,3.630352,3.687214,5.758173,2.91435,6.111183,0.225066,0.8706
2.25,1.415138,3.78244,2.36342799,1.948528,0.964336,1.78368,4.77908926,9.378916,4.632114,5.68274011,9.882161,0.965552,14.12689401,5.77280801,3.715674,6.07158473,15.95563273,11.23977601,62.708032,7.949788,7.965718,12.653348,6.575352,13.553708,0.4863018,1.95466
4.65,3.11592,8.205496,5.19961176,4.14102231,2.047072,4.11021772,10.36640231,20.690454,10.21281674,12.25700195,21.563842,2.04125448,30.90868675,12.31504925,8.20960331,13.42729573,34.92637282,24.63856001,137.3036850001,17.374012,17.592352,27.74611994,14.374878,29.927263,0.9894226,4.13826657
9.0391699256,6.624940815,17.80940431,11.13005358,8.85670389,4.44976315,8.79061063,22.19444668,44.55329096,22.29026307,26.70224211,46.828873,4.46101165,66.42347728,26.63473667,17.77761169,28.9771106,75.375334,53.35024001,296.523856,37.629549,37.67755133,59.816345,31.088148,64.48538742,2.1988476,9.02427986
14.2010511706,11.821404163,31.49613354,19.70180675,15.7450382,7.83352496,15.59721316,39.37113036,78.97971096,39.35720848,47.20487111,82.77947267,7.94270965,117.85524073,47.39735237,31.46468338,51.39225573,133.30067791,94.50364801,524.704413,66.556681,66.82485983,106.02934011,55.1075046,114.27587967,3.8339902,15.85385786
19.7239457807,18.626014326,49.621384,31.08077616,24.9691671,12.38982715,24.68937721,62.12338905,124.50250384,62.15428174,74.42684911,130.773976,12.48634848,185.75431701,74.76427991,49.65907245,81.05238073,210.17143382,148.98406081,826.716519,104.875314,105.42053133,167.05930017,86.8308828,180.19184275,6.0448191,25.07611114
25.1037146033,26.832009571,71.535616,44.83244898,35.94596868,17.89500597,35.5162005,89.56304342,179.58477583,89.75894525,107.33443011,188.60282473,18.00247739,267.91219929,107.70514733,71.60658421,116.9134492,302.84691845,214.78166081,1190.621049,151.08019,151.88983866,240.83767267,125.1918168,259.85166867,8.739418,35.97865743
30.0453442686,36.134805407,96.23358954,60.28003856,48.33262456,24.05084304,47.85003746,120.40673305,241.76237398,120.70293497,144.35885921,253.72140463,24.24109304,360.26209029,145.02819911,96.3566656,157.3461316,407.14799682,288.85779521,1599.512202,203.044314,204.30151266,323.68703094,168.4234752,349.48447808,11.7968444,48.45309071
