"Anteil (70-80 J.) (RS)";"Anteil (70-80 J.) (Kreis)";"Anteil (70-80 J.) (Ins)";"Anteil (70-80 J.) (Abs)";"Anteil (70-80 J.) (value)"
"01001";"Flensburg,Stadt";90164;7932;8,79730269287077
"01002";"Kiel,Stadt";246794;20341;8,24209664740634
"01003";"Lübeck,Stadt";216530;21990;10,1556366323373
"01004";"Neumünster,Stadt";80196;7824;9,75609756097561
"01051";"Dithmarschen";133193;14517;10,8992214305557
"01053";"HerzogtumLauenburg";198019;19107;9,64907407875002
"01054";"Nordfriesland";165951;17803;10,7278654542606
"01055";"Ostholstein";200539;24717;12,3252833613412
"01056";"Pinneberg";316103;31121;9,84520868198024
"01057";"Plön";128686;15318;11,9033927544566
"01058";"Rendsburg-Eckernförde";274098;28767;10,4951513692183
"01059";"Schleswig-Flensburg";201156;21324;10,6007277933544
"01060";"Segeberg";277175;27251;9,83169477766754
"01061";"Steinburg";131013;13059;9,96771312770489
"01062";"Stormarn";244156;24860;10,1820147774374
"02000";"Hamburg(BL)";1847253;147920;8,00756582882799
"03101";"Braunschweig,Stadt";249406;22338;8,95648059790061
"03102";"Salzgitter,Stadt";104291;10078;9,66334583041681
"03103";"Wolfsburg,Stadt";124371;11252;9,04712513367264
"03151";"Gifhorn";176523;14826;8,39890552505906
"03153";"Goslar";136292;15736;11,5457987262642
"03154";"Helmstedt";91297;8735;9,5676747319189
"03155";"Northeim";132285;13598;10,2793211626413
"03157";"Peine";134801;12032;8,92574980897768
"03158";"Wolfenbüttel";119622;12291;10,2748658273562
"03159";"Göttingen";326041;31034;9,51843479807754
"03241";"RegionHannover";1157115;104125;8,99867342485405
"03251";"Diepholz";217089;20568;9,47445517736965
"03252";"Hameln-Pyrmont";148549;15507;10,4389797305939
"03254";"Hildesheim";275817;26848;9,73399029066374
"03255";"Holzminden";70458;7603;10,7908257401573
"03256";"Nienburg(Weser)";121390;11014;9,073235027597
"03257";"Schaumburg";157820;16217;10,2756304650868
"03351";"Celle";179011;17905;10,002178637067
"03352";"Cuxhaven";198038;21727;10,9711267534514
"03353";"Harburg";254431;25562;10,0467317268729
"03354";"Lüchow-Dannenberg";48412;5800;11,9805007023052
"03355";"Lüneburg";184139;16097;8,74176573132253
"03356";"Osterholz";113928;12004;10,5364791798329
"03357";"Rotenburg(Wümme)";163782;14740;8,99976798427178
"03358";"Heidekreis";140673;13175;9,36569206599703
"03359";"Stade";204512;19341;9,45714676889376
"03360";"Uelzen";92389;9681;10,4785201701501
"03361";"Verden";137133;13394;9,76716034798334
"03401";"Delmenhorst,Stadt";77559;7598;9,79641305328846
"03402";"Emden,Stadt";49913;4614;9,24408470739086
"03403";"Oldenburg(Oldenburg),Stadt";169077;13944;8,24713000585532
"03404";"Osnabrück,Stadt";165251;12661;7,66167829544148
"03405";"Wilhelmshaven,Stadt";76089;8790;11,5522611678429
"03451";"Ammerland";124859;12700;10,17147342202
"03452";"Aurich";189694;19323;10,1864054740793
"03453";"Cloppenburg";170682;11123;6,51679731899087
"03454";"Emsland";326954;26168;8,00357236797837
"03455";"Friesland";98704;11507;11,658088831253
"03456";"GrafschaftBentheim";137162;11722;8,54609877371284
"03457";"Leer";170756;15908;9,31621729251095
"03458";"Oldenburg,Landkreis";130890;12029;9,19015967606387
"03459";"Osnabrück,Landkreis";358080;30011;8,38108802502234
"03460";"Vechta";142814;9190;6,43494335289257
"03461";"Wesermarsch";88583;8924;10,0741677296998
"03462";"Wittmund";56926;6086;10,6910726205952
"04011";"Bremen,Stadt";567559;51324;9,04293650527963
"04012";"Bremerhaven,Stadt";113643;10762;9,47000695159403
"05111";"Düsseldorf,Stadt";621877;51179;8,2297624771458
"05112";"Duisburg,Stadt";498686;41092;8,24005486418307
"05113";"Essen,Stadt";582760;52358;8,98448761068021
"05114";"Krefeld,Stadt";227417;21171;9,30933043703857
"05116";"Mönchengladbach,Stadt";261034;23063;8,8352475156493
"05117";"MülheimanderRuhr,Stadt";170632;16834;9,86567584040508
"05119";"Oberhausen,Stadt";210764;18701;8,87295743106033
"05120";"Remscheid,Stadt";111338;10613;9,53223517577108
"05122";"Solingen,Stadt";159245;14168;8,89698263681748
"05124";"Wuppertal,Stadt";355100;31414;8,84652210644889
"05154";"Kleve";312465;26872;8,60000320035844
"05158";"Mettmann";485570;49920;10,2807010317771
"05162";"Rhein-KreisNeuss";451730;42252;9,35337480353308
"05166";"Viersen";298863;28081;9,39594396094532
"05170";"Wesel";459976;44407;9,65419934953128
"05314";"Bonn,Stadt";329673;24762;7,5110791602588
"05315";"Köln,Stadt";1087863;82521;7,58560590809688
"05316";"Leverkusen,Stadt";163729;14597;8,91534181482816
"05334";"StädteregionAachen";557026;47632;8,55112687738095
"05358";"Düren";264638;23449;8,86078340978998
"05362";"Rhein-Erft-Kreis";470615;43562;9,25639854233291
"05366";"Euskirchen";193656;17335;8,95143966621225
"05370";"Heinsberg";255555;21909;8,57310559370781
"05374";"OberbergischerKreis";272057;23529;8,64855526599205
