"Anteil (>= 80 J.) (RS)";"Anteil (>= 80 J.) (Kreis)";"Anteil (>= 80 J.) (Ins)";"Anteil (>= 80 J.) (Abs)";"Anteil (>= 80 J.) (value)"
"01001";"Flensburg,Stadt";90164;5563;6,16986824009583
"01002";"Kiel,Stadt";246794;14151;5,73393194324011
"01003";"Lübeck,Stadt";216530;16500;7,62019119752459
"01004";"Neumünster,Stadt";80196;5811;7,24599730659883
"01051";"Dithmarschen";133193;9901;7,43357383646288
"01053";"HerzogtumLauenburg";198019;14502;7,32353966033562
"01054";"Nordfriesland";165951;12070;7,27323125500901
"01055";"Ostholstein";200539;16744;8,34949810261346
"01056";"Pinneberg";316103;22170;7,01353672695292
"01057";"Plön";128686;10354;8,0459412834341
"01058";"Rendsburg-Eckernförde";274098;19385;7,07228801377609
"01059";"Schleswig-Flensburg";201156;14402;7,15961741136233
"01060";"Segeberg";277175;18290;6,59871922070894
"01061";"Steinburg";131013;9313;7,10845488615634
"01062";"Stormarn";244156;18502;7,5779419715264
"02000";"Hamburg(BL)";1847253;107709;5,83076600768817
"03101";"Braunschweig,Stadt";249406;17443;6,99381730992839
"03102";"Salzgitter,Stadt";104291;7687;7,37072230585573
"03103";"Wolfsburg,Stadt";124371;9635;7,74698281753785
"03151";"Gifhorn";176523;10624;6,0184791783507
"03153";"Goslar";136292;12322;9,04088281043642
"03154";"Helmstedt";91297;6943;7,60485010460366
"03155";"Northeim";132285;11225;8,48546698416298
"03157";"Peine";134801;9203;6,82710068916403
"03158";"Wolfenbüttel";119622;8838;7,38827306013944
"03159";"Göttingen";326041;23668;7,25920973129146
"03241";"RegionHannover";1157115;80062;6,91910484264745
"03251";"Diepholz";217089;15411;7,09893177452565
"03252";"Hameln-Pyrmont";148549;12812;8,62476354603531
"03254";"Hildesheim";275817;21196;7,6848055050994
"03255";"Holzminden";70458;6321;8,97130205228647
"03256";"Nienburg(Weser)";121390;8835;7,27819424993822
"03257";"Schaumburg";157820;12834;8,13204916994044
"03351";"Celle";179011;12929;7,22246118953584
"03352";"Cuxhaven";198038;15144;7,64701723911572
"03353";"Harburg";254431;17340;6,81520726641015
"03354";"Lüchow-Dannenberg";48412;4216;8,70858464843427
"03355";"Lüneburg";184139;11215;6,09050771428106
"03356";"Osterholz";113928;7862;6,90084965943403
"03357";"Rotenburg(Wümme)";163782;10478;6,39752842192671
"03358";"Heidekreis";140673;10165;7,22597797729486
"03359";"Stade";204512;12969;6,34143717728055
"03360";"Uelzen";92389;7793;8,43498684908377
"03361";"Verden";137133;9104;6,63881049783787
"03401";"Delmenhorst,Stadt";77559;5072;6,53953764231102
"03402";"Emden,Stadt";49913;3216;6,44321118746619
"03403";"Oldenburg(Oldenburg),Stadt";169077;9741;5,76128036338473
"03404";"Osnabrück,Stadt";165251;10248;6,20147533146547
"03405";"Wilhelmshaven,Stadt";76089;6356;8,35337565219677
"03451";"Ammerland";124859;8712;6,97747058682194
"03452";"Aurich";189694;12008;6,33019494554388
"03453";"Cloppenburg";170682;8760;5,13235139030478
"03454";"Emsland";326954;18274;5,58916544835053
"03455";"Friesland";98704;7840;7,9429405089966
"03456";"GrafschaftBentheim";137162;8763;6,38879573059594
"03457";"Leer";170756;10414;6,09876080489119
"03458";"Oldenburg,Landkreis";130890;8557;6,53755061502025
"03459";"Osnabrück,Landkreis";358080;24402;6,81467828418231
"03460";"Vechta";142814;7197;5,03942190541544
"03461";"Wesermarsch";88583;6436;7,26550241016899
"03462";"Wittmund";56926;4098;7,1988195200787
"04011";"Bremen,Stadt";567559;38039;6,70221069527573
"04012";"Bremerhaven,Stadt";113643;7483;6,58465545612136
"05111";"Düsseldorf,Stadt";621877;39027;6,27567830937629
"05112";"Duisburg,Stadt";498686;34205;6,8590255190641
"05113";"Essen,Stadt";582760;41763;7,16641499073375
"05114";"Krefeld,Stadt";227417;16080;7,07071151233197
"05116";"Mönchengladbach,Stadt";261034;16916;6,48038186596382
"05117";"MülheimanderRuhr,Stadt";170632;13715;8,03776548361386
"05119";"Oberhausen,Stadt";210764;14872;7,05623351236454
"05120";"Remscheid,Stadt";111338;7944;7,13503026819235
"05122";"Solingen,Stadt";159245;11587;7,27620961411661
"05124";"Wuppertal,Stadt";355100;24014;6,76260208392002
"05154";"Kleve";312465;19514;6,24517946009953
"05158";"Mettmann";485570;38249;7,87713408983257
"05162";"Rhein-KreisNeuss";451730;31617;6,99909237819051
"05166";"Viersen";298863;20846;6,97510230440034
"05170";"Wesel";459976;33992;7,3899507800407
"05314";"Bonn,Stadt";329673;19687;5,97167496276613
"05315";"Köln,Stadt";1087863;58471;5,37484959043556
"05316";"Leverkusen,Stadt";163729;12356;7,54661666534334
"05334";"StädteregionAachen";557026;35763;6,42034662654885
"05358";"Düren";264638;17091;6,45825618391917
"05362";"Rhein-Erft-Kreis";470615;30649;6,51254209916811
"05366";"Euskirchen";193656;12735;6,5760936919073
"05370";"Heinsberg";255555;16461;6,44127487233668
"05374";"OberbergischerKreis";272057;19086;7,01544161701408
"05378";"Rheinisch-BergischerKreis";283271;21940;7,74523336310459
"05382";"Rhein-Sieg-Kreis";600764;39756;6,61757362292015
"05512";"Bottrop,Stadt";117565;8336;7,09054565559478
"05513";"Gelsenkirchen,Stadt";259645;17078;6,57744227695507
"05515";"Münster,Stadt";315293;18282;5,7984160764749
"05554";"Borken";371339;22315;6,00933378934074
"05558";"Coesfeld";220586;14296;6,48091900664593
"05562";"Recklinghausen";614137;44351;7,22167855055143
"05566";"Steinfurt";448220;28710;6,40533666503057
"05570";"Warendorf";277840;19068;6,86294270083501
"05711";"Bielefeld,Stadt";334195;23142;6,92469965140113
"05754";"Gütersloh";364938;23612;6,47014013339252
"05758";"Herford";250578;19241;7,6786469682095
"05762";"Höxter";140251;10526;7,50511582805114
"05766";"Lippe";347514;26693;7,68112939334818
"05770";"Minden-Lübbecke";310409;23319;7,51234661366133
"05774";"Paderborn";307839;17458;5,67114628101053
"05911";"Bochum,Stadt";365587;26540;7,2595579164467
"05913";"Dortmund,Stadt";588250;38934;6,61861453463663
"05914";"Hagen,Stadt";188686;13829;7,32910761794728
"05915";"Hamm,Stadt";179916;11877;6,60141399319683
"05916";"Herne,Stadt";156449;11025;7,0470249090758
"05954";"Ennepe-Ruhr-Kreis";324106;24605;7,59165211381462
"05958";"Hochsauerlandkreis";259777;18957;7,29741278096213
"05962";"MärkischerKreis";410222;29240;7,12784784823827
"05966";"Olpe";133955;8729;6,5163674368258
"05970";"Siegen-Wittgenstein";276944;19090;6,89309029984401
"05974";"Soest";301785;20863;6,91319979455573
"05978";"Unna";394891;28263;7,15716488853886
"06411";"Darmstadt,Stadt";159878;8655;5,41350279588186
"06412";"FrankfurtamMain,Stadt";763380;35263;4,6193245827766
"06413";"OffenbachamMain,Stadt";130280;6411;4,920939514891
"06414";"Wiesbaden,Stadt";278474;17689;6,35211904881605
"06431";"Bergstraße";270340;18273;6,75926610934379
"06432";"Darmstadt-Dieburg";297844;17998;6,04276063979802
"06433";"Groß-Gerau";275726;16069;5,8278871053147
"06434";"Hochtaunuskreis";236914;17604;7,43054441696143
"06435";"Main-Kinzig-Kreis";420552;27191;6,46555003899637
"06436";"Main-Taunus-Kreis";238558;16136;6,76397354102566
"06437";"Odenwaldkreis";96703;7116;7,35861348665502
"06438";"Offenbach";355813;23204;6,52140309657039
"06439";"Rheingau-Taunus-Kreis";187160;13049;6,97210942509083
"06440";"Wetteraukreis";308339;20006;6,48831318775763
"06531";"Gießen";270688;16169;5,97329767111952
"06532";"Lahn-Dill-Kreis";253319;17865;7,05237270003434
"06533";"Limburg-Weilburg";171912;11419;6,64235190097259
"06534";"Marburg-Biedenkopf";247084;15576;6,30392902818475
"06535";"Vogelsbergkreis";105643;8671;8,20783203809055
"06611";"Kassel,Stadt";202137;12624;6,24526929755562
"06633";"Kassel";236764;18198;7,68613471642648
"06631";"Fulda";223145;15971;7,1572296040691
"06632";"Hersfeld-Rotenburg";120719;9402;7,7883348934302
"06634";"Schwalm-Eder-Kreis";179673;13292;7,39788393359047
"06635";"Waldeck-Frankenberg";156406;11851;7,57707504827181
"06636";"Werra-Meißner-Kreis";100629;8337;8,28488805413946
"07111";"Koblenz,Stadt";114052;8468;7,42468347771192
"07131";"Ahrweiler";130086;10516;8,08388296972772
"07132";"Altenkirchen(Westerwald)";128805;9079;7,04863941617173
"07133";"BadKreuznach";158345;11399;7,19883798035934
"07134";"Birkenfeld";80951;6512;8,0443725216489
"07135";"Cochem-Zell";61375;4903;7,98859470468432
"07137";"Mayen-Koblenz";214434;14748;6,87764067265452
"07138";"Neuwied";182811;12983;7,10187023756776
"07140";"Rhein-Hunsrück-Kreis";103163;7372;7,14597287787288
"07141";"Rhein-Lahn-Kreis";122297;8807;7,20132137337792
"07143";"Westerwaldkreis";201904;13428;6,65068547428481
"07211";"Trier,Stadt";111528;6650;5,9626282189226
"07231";"Bernkastel-Wittlich";112483;8391;7,45979392441525
"07232";"Bitburg-Prüm";99058;6521;6,58301197278362
"07233";"Vulkaneifel";60646;4716;7,77627543448867
"07235";"Trier-Saarburg";149398;9859;6,59915126039171
"07311";"Frankenthal(Pfalz),Stadt";48762;3832;7,85857840121406
"07312";"Kaiserslautern,Stadt";100030;6330;6,32810156952914
"07313";"LandauinderPfalz,Stadt";46881;2911;6,20933853800047
"07314";"LudwigshafenamRhein,Stadt";172253;10640;6,17696063348679
"07315";"Mainz,Stadt";218578;12245;5,60211915197321
