"Anteil (< 16 J.) (RS)";"Anteil (< 16 J.) (Kreis)";"Anteil (< 16 J.) (Ins)";"Anteil (< 16 J.) (Abs)";"Anteil (< 16 J.) (value)"
"01001";"Flensburg,Stadt";90164;12703;14,0887715718025
"01002";"Kiel,Stadt";246794;32635;13,2235791793966
"01003";"Lübeck,Stadt";216530;29067;13,4240059114211
"01004";"Neumünster,Stadt";80196;11624;14,4944885031672
"01051";"Dithmarschen";133193;18253;13,704173642759
"01053";"HerzogtumLauenburg";198019;30371;15,3374171165393
"01054";"Nordfriesland";165951;22492;13,553398292267
"01055";"Ostholstein";200539;25211;12,5716194854866
"01056";"Pinneberg";316103;47812;15,1254496161061
"01057";"Plön";128686;17916;13,9222603857451
"01058";"Rendsburg-Eckernförde";274098;40314;14,707878204146
"01059";"Schleswig-Flensburg";201156;29944;14,8859591560779
"01060";"Segeberg";277175;41470;14,9616668169929
"01061";"Steinburg";131013;18532;14,1451611672124
"01062";"Stormarn";244156;37357;15,3004636380019
"02000";"Hamburg(BL)";1847253;280133;15,1648420654886
"03101";"Braunschweig,Stadt";249406;32646;13,0895006535528
"03102";"Salzgitter,Stadt";104291;16876;16,1816455878264
"03103";"Wolfsburg,Stadt";124371;18641;14,9882207266967
"03151";"Gifhorn";176523;28242;15,9990482826601
"03153";"Goslar";136292;16069;11,7901270800927
"03154";"Helmstedt";91297;12884;14,1121833138
"03155";"Northeim";132285;17530;13,2516914238198
"03157";"Peine";134801;21022;15,5948398008917
"03158";"Wolfenbüttel";119622;16375;13,6889535369748
"03159";"Göttingen";326041;43694;13,4013820347748
"03241";"RegionHannover";1157115;170380;14,72455201082
"03251";"Diepholz";217089;31929;14,7077926564681
"03252";"Hameln-Pyrmont";148549;20786;13,992689280978
"03254";"Hildesheim";275817;37797;13,7036513340367
"03255";"Holzminden";70458;9243;13,1184535467938
"03256";"Nienburg(Weser)";121390;17980;14,8117637367164
"03257";"Schaumburg";157820;21623;13,7010518312001
"03351";"Celle";179011;27183;15,1851003569613
"03352";"Cuxhaven";198038;28110;14,1942455488341
"03353";"Harburg";254431;38825;15,2595399145544
"03354";"Lüchow-Dannenberg";48412;6387;13,1930099975213
"03355";"Lüneburg";184139;27840;15,1190133540423
"03356";"Osterholz";113928;16858;14,7970648128643
"03357";"Rotenburg(Wümme)";163782;24252;14,8074880023446
"03358";"Heidekreis";140673;20861;14,8294271111016
"03359";"Stade";204512;31742;15,5208496322954
"03360";"Uelzen";92389;12259;13,2688956477503
"03361";"Verden";137133;21348;15,56736890464
"03401";"Delmenhorst,Stadt";77559;12152;15,6680720483761
"03402";"Emden,Stadt";49913;7342;14,7095946947689
"03403";"Oldenburg(Oldenburg),Stadt";169077;23065;13,6417135388018
"03404";"Osnabrück,Stadt";165251;22120;13,3856981198298
"03405";"Wilhelmshaven,Stadt";76089;9831;12,9203958522257
"03451";"Ammerland";124859;18787;15,0465725338181
"03452";"Aurich";189694;27239;14,3594420487733
"03453";"Cloppenburg";170682;30246;17,7206735332373
"03454";"Emsland";326954;51905;15,8753219107275
"03455";"Friesland";98704;13629;13,8079510455503
"03456";"GrafschaftBentheim";137162;21766;15,8688266429478
"03457";"Leer";170756;25773;15,0934667010237
"03458";"Oldenburg,Landkreis";130890;19695;15,0469860187944
"03459";"Osnabrück,Landkreis";358080;56236;15,7048704200179
"03460";"Vechta";142814;24815;17,3757474757377
"03461";"Wesermarsch";88583;12301;13,8864116139666
"03462";"Wittmund";56926;7962;13,9865790675614
"04011";"Bremen,Stadt";567559;81364;14,3357783067487
"04012";"Bremerhaven,Stadt";113643;17693;15,5689307744428
"05111";"Düsseldorf,Stadt";621877;90484;14,5501441603404
"05112";"Duisburg,Stadt";498686;76327;15,305623177711
"05113";"Essen,Stadt";582760;84892;14,5672317935342
"05114";"Krefeld,Stadt";227417;33439;14,7038260112481
"05116";"Mönchengladbach,Stadt";261034;38609;14,7907935364742
"05117";"MülheimanderRuhr,Stadt";170632;24746;14,5025552065263
"05119";"Oberhausen,Stadt";210764;30237;14,3463779393065
"05120";"Remscheid,Stadt";111338;16697;14,996676786003
"05122";"Solingen,Stadt";159245;23961;15,0466262677007
"05124";"Wuppertal,Stadt";355100;54602;15,3765136581245
"05154";"Kleve";312465;45680;14,6192373545837
"05158";"Mettmann";485570;71838;14,7945713285417
"05162";"Rhein-KreisNeuss";451730;69273;15,3350452704049
"05166";"Viersen";298863;42259;14,1399236439439
"05170";"Wesel";459976;64217;13,9609457884759
"05314";"Bonn,Stadt";329673;50966;15,459561444219
"05315";"Köln,Stadt";1087863;157627;14,489600252973
"05316";"Leverkusen,Stadt";163729;25065;15,3088334992579
"05334";"StädteregionAachen";557026;76083;13,658787920133
"05358";"Düren";264638;39332;14,8625669782873
"05362";"Rhein-Erft-Kreis";470615;72335;15,3703133134303
"05366";"Euskirchen";193656;28546;14,7405709092411
"05370";"Heinsberg";255555;37819;14,7987713016767
"05374";"OberbergischerKreis";272057;41952;15,4202979522674
"05378";"Rheinisch-BergischerKreis";283271;41774;14,7470090478729
"05382";"Rhein-Sieg-Kreis";600764;93142;15,5039250021639
"05512";"Bottrop,Stadt";117565;16324;13,8850848466806
"05513";"Gelsenkirchen,Stadt";259645;41289;15,9020970941093
"05515";"Münster,Stadt";315293;42212;13,3881817864653
"05554";"Borken";371339;59975;16,1510102628595
"05558";"Coesfeld";220586;33595;15,2298876628617
"05562";"Recklinghausen";614137;87929;14,3174894201131
"05566";"Steinfurt";448220;70930;15,8248181696488
"05570";"Warendorf";277840;43011;15,4804923697092
"05711";"Bielefeld,Stadt";334195;51093;15,288379538892
"05754";"Gütersloh";364938;57585;15,7793926639594
"05758";"Herford";250578;37662;15,0300505231904
"05762";"Höxter";140251;20505;14,6202166116463
"05766";"Lippe";347514;54997;15,8258372324568
"05770";"Minden-Lübbecke";310409;47882;15,425454803179
"05774";"Paderborn";307839;47927;15,568852549547
"05911";"Bochum,Stadt";365587;47888;13,0989340430595
"05913";"Dortmund,Stadt";588250;85884;14,5999150021249
"05914";"Hagen,Stadt";188686;29045;15,3932989198987
"05915";"Hamm,Stadt";179916;27659;15,3732853109229
"05916";"Herne,Stadt";156449;22415;14,3273526836221
"05954";"Ennepe-Ruhr-Kreis";324106;44482;13,7245222242106
"05958";"Hochsauerlandkreis";259777;37141;14,2972626521978
"05962";"MärkischerKreis";410222;60511;14,7507934728025
"05966";"Olpe";133955;20081;14,9908551379195
"05970";"Siegen-Wittgenstein";276944;40067;14,4675457854295
"05974";"Soest";301785;45179;14,9705916463708
"05978";"Unna";394891;56788;14,380677199531
"06411";"Darmstadt,Stadt";159878;23005;14,3890966862232
"06412";"FrankfurtamMain,Stadt";763380;117294;15,3650868505856
"06413";"OffenbachamMain,Stadt";130280;21777;16,7155357691127
"06414";"Wiesbaden,Stadt";278474;44485;15,9745613594088
