#time,6411_s,6412_s,6413_s,6414_s,6431_s,6432_s,6433_s,6434_s,6435_s,6436_s,6437_s,6438_s,6439_s,6440_s,6531_s,6532_s,6533_s,6534_s,6535_s,6611_s,6631_s,6632_s,6633_s,6634_s,6635_s,6636_s,6411_e,6412_e,6413_e,6414_e,6431_e,6432_e,6433_e,6434_e,6435_e,6436_e,6437_e,6438_e,6439_e,6440_e,6531_e,6532_e,6533_e,6534_e,6535_e,6611_e,6631_e,6632_e,6633_e,6634_e,6635_e,6636_e,6411_i,6412_i,6413_i,6414_i,6431_i,6432_i,6433_i,6434_i,6435_i,6436_i,6437_i,6438_i,6439_i,6440_i,6531_i,6532_i,6533_i,6534_i,6535_i,6611_i,6631_i,6632_i,6633_i,6634_i,6635_i,6636_i,6411_r,6412_r,6413_r,6414_r,6431_r,6432_r,6433_r,6434_r,6435_r,6436_r,6437_r,6438_r,6439_r,6440_r,6531_r,6532_r,6533_r,6534_r,6535_r,6611_r,6631_r,6632_r,6633_r,6634_r,6635_r,6636_r,6411_d,6412_d,6413_d,6414_d,6431_d,6432_d,6433_d,6434_d,6435_d,6436_d,6437_d,6438_d,6439_d,6440_d,6531_d,6532_d,6533_d,6534_d,6535_d,6611_d,6631_d,6632_d,6633_d,6634_d,6635_d,6636_d
0,158775,761248,130401,277699,270455,297085,274930,236881,420493,238631,96287,355455,186990,309812,271272,252917,171877,245574,105339,200514,200511,119955,119776,179194,156295,99797,14,134,17,34,4,29,27,13,30,24,1,17,8,12,21,10,12,20,2,8,10,2,5,4,4,3,27,223,35,114,72,63,67,28,103,62,3,81,22,31,26,17,17,25,6,21,30,3,14,10,7,3,342,2421,421,738,475,508,757,350,1013,514,400,933,406,477,343,400,378,279,154,489,473,321,469,595,213,227,18,72,10,22,3,21,15,6,53,16,63,45,8,13,4,20,7,4,6,9,15,23,31,39,5,16
1,158775,761235,130397,277693,270454,297081,274921,236879,420489,238627,96286,355445,186987,309810,271267,252917,171876,245565,105337,200512,200508,119955,119774,179192,156293,99797,12,128,18,31,10,22,38,16,27,41,1,28,7,19,22,10,11,19,1,10,19,1,11,1,4,3,30,235,37,94,57,68,60,32,98,69,4,69,20,26,29,15,19,25,6,20,28,2,14,11,10,4,342,2433,428,743,475,510,757,350,1013,514,400,933,406,478,343,409,379,281,154,494,473,322,472,596,217,227,18,72,10,22,3,21,15,6,53,16,63,45,8,13,4,20,7,4,6,9,15,23,31,39,5,16
2,158771,761213,130394,277679,270452,297080,274903,236874,420486,238622,96286,355441,186984,309807,271256,252914,171873,245562,105337,200509,200506,119955,119773,179192,156293,99797,7,105,15,29,9,21,39,12,18,26,1,34,8,19,20,10,7,24,2,11,18,1,13,2,3,2,27,253,33,74,37,59,55,30,82,70,4,68,17,27,30,9,20,26,5,17,32,3,14,8,10,4,344,2457,433,771,492,510,772,352,1031,525,400,949,410,485,346,411,382,285,155,496,479,323,472,596,217,227,18,72,10,22,3,21,15,6,53,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
3,158770,761192,130392,277673,270447,297078,274890,236864,420480,238616,96286,355437,186984,309807,271249,252914,171868,245560,105336,200508,200503,119954,119770,179191,156292,99796,9,84,14,38,11,18,56,13,20,29,1,29,10,17,25,9,7,24,2,12,16,0,12,2,2,1,28,241,28,64,34,61,64,27,71,64,4,66,17,28,34,15,17,27,5,17,32,3,15,6,7,4,349,2482,441,796,512,523,778,358,1048,526,400,959,414,489,351,421,384,287,156,501,479,323,474,599,218,228,18,72,10,22,3,21,15,6,53,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
4,158769,761167,130385,277665,270443,297072,274877,236857,420468,238607,96286,355431,186982,309805,271247,252908,171866,245556,105336,200506,200497,119953,119769,179190,156290,99796,8,84,13,42,16,11,57,23,23,35,1,33,8,15,28,3,11,23,3,11,19,1,14,3,3,2,29,235,26,56,32,56,59,22,64,54,3,57,14,25,35,14,16,33,5,15,30,3,13,6,6,4,350,2515,449,808,515,530,780,361,1062,532,400,961,416,490,351,421,388,289,156,503,479,323,474,601,221,228,18,72,10,22,3,21,16,6,53,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
5,158766,761146,130384,277653,270437,297070,274872,236857,420462,238603,96285,355428,186980,309800,271241,252904,171866,245553,105336,200501,200497,119953,119766,179190,156289,99796,6,90,19,37,20,15,70,30,35,44,1,39,9,15,27,9,11,19,3,12,25,2,15,4,5,1,23,215,28,53,35,46,72,28,66,67,2,65,13,32,30,13,16,27,4,16,37,2,20,5,4,3,352,2540,452,829,517,537,785,366,1069,542,401,970,420,495,353,422,391,291,156,506,481,323,476,601,222,229,18,72,10,22,3,21,16,6,53,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
6,158765,761121,130382,277653,270437,297067,274872,236857,420453,238603,96282,355428,186980,309796,271241,252904,171860,245545,105336,200501,200497,119953,119764,179190,156289,99796,9,102,17,46,18,15,58,24,31,28,2,27,10,12,31,13,11,21,3,13,14,2,10,4,6,1,23,212,31,51,36,46,77,30,59,71,2,75,14,33,32,13,17,35,6,16,40,2,22,7,6,3,358,2569,453,835,522,549,789,366,1076,549,402,977,422,496,360,423,391,298,157,509,485,324,477,602,224,230,18,72,10,22,3,21,16,6,54,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
7,158763,761111,130378,277650,270434,297066,274861,236849,420450,238594,96280,355420,186979,309794,271240,252903,171858,245544,105335,200499,200485,119943,119763,179190,156287,99794,10,114,15,40,17,14,49,22,36,24,4,17,7,14,26,13,16,20,1,11,11,2,10,2,4,1,27,228,31,64,38,44,95,35,62,76,2,59,17,34,42,13,20,36,6,19,42,2,23,7,6,3,358,2585,454,843,522,553,793,366,1087,549,403,977,424,497,363,423,391,299,157,511,485,324,477,602,224,230,18,72,10,22,3,21,16,6,54,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
8,158763,761095,130375,277640,270431,297064,274855,236846,420445,238586,96279,355410,186975,309794,271234,252898,171855,245544,105331,200498,200482,119939,119763,179190,156287,99794,8,102,16,29,18,14,42,25,36,28,6,21,5,13,16,11,15,18,2,10,21,12,10,2,6,3,28,226,31,68,28,43,90,39,58,71,2,55,17,29,49,13,23,36,6,18,33,3,20,7,7,4,358,2591,457,844,522,556,792,366,1087,549,403,997,424,499,364,426,391,301,157,511,485,324,477,602,224,230,18,72,10,22,3,21,17,6,54,17,63,45,8,13,5,20,7,4,6,9,15,23,31,39,5,16
9,158758,761059,130367,277633,270427,297060,274834,236835,420428,238583,96278,355393,186974,309791,271232,252890,171846,245541,105331,200496,200477,119935,119761,179188,156287,99794,7,97,17,33,16,14,35,18,35,30,7,27,9,13,15,16,13,16,5,10,21,15,7,1,5,2,20,224,36,71,24,44,97,43,65,68,2,56,17,27,48,19,23,39,5,20,35,4,20,8,9,4,358,2614,459,846,537,559,810,372,1097,560,403,1005,424,504,363,426,393,303,158,513,497,324,482,603,224,230,18,72,10,22,3,21,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
