#time,6636_s,6611_s,6633_s,6635_s,6632_s,6634_s,6631_s,6534_s,6532_s,6533_s,6531_s,6535_s,6435_s,6440_s,6439_s,6434_s,6414_s,6436_s,6412_s,6413_s,6438_s,6433_s,6411_s,6432_s,6437_s,6431_s,6636_e,6611_e,6633_e,6635_e,6632_e,6634_e,6631_e,6534_e,6532_e,6533_e,6531_e,6535_e,6435_e,6440_e,6439_e,6434_e,6414_e,6436_e,6412_e,6413_e,6438_e,6433_e,6411_e,6432_e,6437_e,6431_e,6636_i,6611_i,6633_i,6635_i,6632_i,6634_i,6631_i,6534_i,6532_i,6533_i,6531_i,6535_i,6435_i,6440_i,6439_i,6434_i,6414_i,6436_i,6412_i,6413_i,6438_i,6433_i,6411_i,6432_i,6437_i,6431_i,6636_r,6611_r,6633_r,6635_r,6632_r,6634_r,6631_r,6534_r,6532_r,6533_r,6531_r,6535_r,6435_r,6440_r,6439_r,6434_r,6414_r,6436_r,6412_r,6413_r,6438_r,6433_r,6411_r,6432_r,6437_r,6431_r,6636_d,6611_d,6633_d,6635_d,6632_d,6634_d,6631_d,6534_d,6532_d,6533_d,6531_d,6535_d,6435_d,6440_d,6439_d,6434_d,6414_d,6436_d,6412_d,6413_d,6438_d,6433_d,6411_d,6432_d,6437_d,6431_d
0,99797,200514,236479,156295,119955,179194,222486,245574,252917,171877,271272,105339,420493,309812,186990,236881,277699,238631,761248,130401,355455,274930,158775,297085,96287,270455,3,8,5,4,2,4,10,20,10,12,21,2,30,12,8,13,34,24,134,17,17,27,14,29,1,4,3,21,14,7,3,10,30,25,17,17,26,6,103,31,22,28,114,62,223,35,81,67,27,63,3,72,227,489,469,213,321,595,473,279,400,378,343,154,1013,477,406,350,738,514,2421,421,933,757,342,508,400,475,16,9,31,5,23,39,15,4,20,7,4,6,53,13,8,6,22,16,72,10,45,15,18,21,63,3
1,99797,200512,236477,156293,119955,179192,222483,245565,252917,171876,271267,105337,420489,309810,186987,236879,277693,238627,761235,130397,355445,274921,158775,297081,96286,270454,3,10,11,4,1,1,19,19,10,11,22,1,27,19,7,16,31,41,128,18,28,38,12,22,1,10,4,20,14,10,2,11,28,25,15,19,29,6,98,26,20,32,94,69,235,37,69,60,30,68,4,57,227,494,472,217,322,596,473,281,409,379,343,154,1013,478,406,350,743,514,2433,428,933,757,342,510,400,475,16,9,31,5,23,39,15,4,20,7,4,6,53,13,8,6,22,16,72,10,45,15,18,21,63,3
2,99797,200509,236476,156293,119955,179192,222481,245562,252914,171873,271256,105337,420486,309807,186984,236874,277679,238622,761213,130394,355441,274903,158771,297080,96286,270452,2,11,13,3,1,2,18,24,10,7,20,2,18,19,8,12,29,26,105,15,34,39,7,21,1,9,4,17,14,10,3,8,32,26,9,20,30,5,82,27,17,30,74,70,253,33,68,55,27,59,4,37,227,496,472,217,323,596,479,285,411,382,346,155,1031,485,410,352,771,525,2457,433,949,772,344,510,400,492,16,9,31,5,23,39,15,4,20,7,5,6,53,13,8,6,22,17,72,10,45,15,18,21,63,3
3,99796,200508,236473,156292,119954,179191,222478,245560,252914,171868,271249,105336,420480,309807,186984,236864,277673,238616,761192,130392,355437,274890,158770,297078,96286,270447,1,12,12,2,0,2,16,24,9,7,25,2,20,17,10,13,38,29,84,14,29,56,9,18,1,11,4,17,15,7,3,6,32,27,15,17,34,5,71,28,17,27,64,64,241,28,66,64,28,61,4,34,228,501,474,218,323,599,479,287,421,384,351,156,1048,489,414,358,796,526,2482,441,959,778,349,523,400,512,16,9,31,5,23,39,15,4,20,7,5,6,53,13,8,6,22,17,72,10,45,15,18,21,63,3
4,99796,200506,236472,156290,119953,179190,222472,245556,252908,171866,271247,105336,420468,309805,186982,236857,277665,238607,761167,130385,355431,274877,158769,297072,96286,270443,2,11,14,3,1,3,19,23,3,11,28,3,23,15,8,23,42,35,84,13,33,57,8,11,1,16,4,15,13,6,3,6,30,33,14,16,35,5,64,25,14,22,56,54,235,26,57,59,29,56,3,32,228,503,474,221,323,601,479,289,421,388,351,156,1062,490,416,361,808,532,2515,449,961,780,350,530,400,515,16,9,31,5,23,39,15,4,20,7,5,6,53,13,8,6,22,17,72,10,45,16,18,21,63,3
5,99796,200501,236469,156289,119953,179190,222472,245553,252904,171866,271241,105336,420462,309800,186980,236857,277653,238603,761146,130384,355428,274872,158766,297070,96285,270437,1,12,15,5,2,4,25,19,9,11,27,3,35,15,9,30,37,44,90,19,39,70,6,15,1,20,3,16,20,4,2,5,37,27,13,16,30,4,66,32,13,28,53,67,215,28,65,72,23,46,2,35,229,506,476,222,323,601,481,291,422,391,353,156,1069,495,420,366,829,542,2540,452,970,785,352,537,401,517,16,9,31,5,23,39,15,4,20,7,5,6,53,13,8,6,22,17,72,10,45,16,18,21,63,3
6,99796,200501,236467,156289,119953,179190,222472,245545,252904,171860,271241,105336,420453,309796,186980,236857,277653,238603,761121,130382,355428,274872,158765,297067,96282,270437,1,13,10,6,2,4,14,21,13,11,31,3,31,12,10,24,46,28,102,17,27,58,9,15,2,18,3,16,22,6,2,7,40,35,13,17,32,6,59,33,14,30,51,71,212,31,75,77,23,46,2,36,230,509,477,224,324,602,485,298,423,391,360,157,1076,496,422,366,835,549,2569,453,977,789,358,549,402,522,16,9,31,5,23,39,15,4,20,7,5,6,54,13,8,6,22,17,72,10,45,16,18,21,63,3
7,99794,200499,236466,156287,119943,179190,222460,245544,252903,171858,271240,105335,420450,309794,186979,236849,277650,238594,761111,130378,355420,274861,158763,297066,96280,270434,1,11,10,4,2,2,11,20,13,16,26,1,36,14,7,22,40,24,114,15,17,49,10,14,4,17,3,19,23,6,2,7,42,36,13,20,42,6,62,34,17,35,64,76,228,31,59,95,27,44,2,38,230,511,477,224,324,602,485,299,423,391,363,157,1087,497,424,366,843,549,2585,454,977,793,358,553,403,522,16,9,31,5,23,39,15,4,20,7,5,6,54,13,8,6,22,17,72,10,45,16,18,21,63,3
8,99794,200498,236466,156287,119939,179190,222457,245544,252898,171855,271234,105331,420445,309794,186975,236846,277640,238586,761095,130375,355410,274855,158763,297064,96279,270431,3,10,10,6,12,2,21,18,11,15,16,2,36,13,5,25,29,28,102,16,21,42,8,14,6,18,4,18,20,7,3,7,33,36,13,23,49,6,58,29,17,39,68,71,226,31,55,90,28,43,2,28,230,511,477,224,324,602,485,301,426,391,364,157,1087,499,424,366,844,549,2591,457,997,792,358,556,403,522,16,9,31,5,23,39,15,4,20,7,5,6,54,13,8,6,22,17,72,10,45,17,18,21,63,3
9,99794,200496,236464,156287,119935,179188,222452,245541,252890,171846,271232,105331,420428,309791,186974,236835,277633,238583,761059,130367,355393,274834,158758,297060,96278,270427,2,10,7,5,15,1,21,16,16,13,15,5,35,13,9,18,33,30,97,17,27,35,7,14,7,16,4,20,20,9,4,8,35,39,19,23,48,5,65,27,17,43,71,68,224,36,56,97,20,44,2,24,230,513,482,224,324,603,497,303,426,393,363,158,1097,504,424,372,846,560,2614,459,1005,810,358,559,403,537,16,9,32,5,23,39,15,4,20,7,6,6,54,13,8,6,22,17,72,10,45,17,18,21,63,3
