#rs,t,population,pop_clean,infected,death
6432,1,297844,297238,585,21
6432,2,297844,297229,594,21
6432,3,297844,297224,599,21
6432,4,297844,297220,603,21
6432,5,297844,297211,612,21
6432,6,297844,297209,614,21
6432,7,297844,297207,616,21
6432,8,297844,297203,620,21
6432,9,297844,297202,621,21
6432,10,297844,297200,623,21
6432,11,297844,297194,629,21
6432,12,297844,297192,631,21
6432,13,297844,297188,634,22
6432,14,297844,297187,635,22
6432,15,297844,297185,637,22
6432,16,297844,297181,641,22
6432,17,297844,297175,647,22
6432,18,297844,297169,653,22
6432,19,297844,297164,658,22
6432,20,297844,297164,658,22
6432,21,297844,297162,660,22
6432,22,297844,297156,666,22
6432,23,297844,297154,668,22
6432,24,297844,297143,679,22
6432,25,297844,297137,685,22
6432,26,297844,297133,689,22
6432,27,297844,297131,691,22
6432,28,297844,297131,691,22
6432,29,297844,297124,698,22
6432,30,297844,297120,702,22
6432,31,297844,297109,713,22
6432,32,297844,297103,719,22
6432,33,297844,297101,721,22
6432,34,297844,297095,727,22
6432,35,297844,297094,728,22
6432,36,297844,297082,740,22
6432,37,297844,297073,749,22
6432,38,297844,297063,759,22
6432,39,297844,297055,767,22
6432,40,297844,297042,780,22
6432,41,297844,297038,784,22
6432,42,297844,297033,789,22
6432,43,297844,297020,802,22
6432,44,297844,296992,830,22
6432,45,297844,296979,843,22
6432,46,297844,296956,866,22
6432,47,297844,296938,884,22
6432,48,297844,296920,902,22
6432,49,297844,296875,947,22
6432,50,297844,296845,977,22
6432,51,297844,296797,1024,23
6432,52,297844,296753,1068,23
6432,53,297844,296688,1133,23
6432,54,297844,296630,1190,24
6432,55,297844,296596,1224,24
6432,56,297844,296557,1262,25
6432,57,297844,296496,1323,25
6432,58,297844,296425,1394,25
6432,59,297844,296342,1476,26
6432,60,297844,296241,1574,29
6432,61,297844,296154,1657,33
6432,62,297844,296095,1715,34
6432,63,297844,296066,1744,34
6432,64,297844,296024,1786,34
6432,65,297844,295963,1841,40
6432,66,297844,295862,1941,41
6432,67,297844,295760,2043,41
6432,68,297844,295659,2144,41
6432,69,297844,295636,2166,42
6432,70,297844,295575,2223,46
6432,71,297844,295518,2278,48
6432,72,297844,295449,2347,48
6432,73,297844,295363,2432,49
6432,74,297844,295285,2509,50
6432,75,297844,295231,2563,50
