#darmstadt 14.02.-19.05,,
#time,infected,dead
1,3863,131
2,3868,131
3,3885,131
4,3901,131
5,3920,131
6,3925,131
7,3931,131
8,3933,131
9,3961,132
10,3984,132
11,3999,133
12,4007,133
13,4022,133
14,4031,133
15,4031,133
16,4045,133
17,4048,133
18,4065,133
19,4077,135
20,4087,135
21,4102,136
22,4103,136
23,4111,136
24,4129,136
25,4148,136
26,4159,136
27,4170,136
28,4179,136
29,4191,136
30,4200,136
31,4212,136
32,4235,136
33,4257,136
34,4272,136
35,4293,136
36,4294,136
37,4306,136
38,4332,136
39,4357,136
40,4385,136
41,4410,136
42,4434,136
43,4451,136
44,4471,136
45,4489,136
46,4523,136
47,4549,136
48,4574,136
49,4587,137
50,4598,137
51,4604,137
52,4606,137
53,4639,138
54,4683,140
55,4719,140
56,4740,141
57,4742,141
58,4757,141
59,4812,141
60,4853,141
61,4891,141
62,4912,141
63,4925,141
64,4928,141
65,4937,141
66,4973,141
67,5038,142
68,5074,143
69,5124,143
70,5152,143
71,5159,143
72,5168,143
73,5206,144
74,5254,144
75,5301,144
76,5331,144
77,5355,144
78,5364,144
79,5367,144
80,5402,144
81,5440,144
82,5467,145
83,5485,145
84,5491,145
85,5491,145
86,5511,145
87,5523,145
88,5544,145
89,5561,145
90,5566,145
91,5581,145
92,5590,145
93,5602,145
94,5620,145
95,5645,145
