#time,infections
0,7404
1,7430
2,7852
3,7776
4,6994
5,6824
6,6931
7,7051
8,7569
9,8242
10,8017
11,7205
12,7239
13,7583
14,7785
15,8063
16,8835
17,8681
18,7762
19,7701
20,7929
21,8038
22,8369
23,9177
24,8958
25,7933
26,7963
27,8611
28,9180
29,9871
30,11056
31,11063
32,10284
33,10589
34,11479
35,12198
36,13074
37,14475
38,14335
39,13187
40,13374
41,14365
42,15407
43,16544
44,18175
45,17956
46,16540
47,16157
48,16509
49,16742
50,16703
51,17213
52,16572
53,14349
54,12252
55,12623
56,14324
57,16431
58,18242
59,18538
60,18625
61,19107
62,19608
63,19913
64,20754
65,22228
66,21697
