#time,infected
0,1755
1,1757
2,1763
3,1785
4,1841
5,1868
6,1892
7,1942
8,2018
9,2093
10,2177
11,2237
12,2276
13,2359
14,2562
15,2813
16,3065
17,3371
18,3575
19,3734
20,3988
21,4243
22,4638
23,5101
24,5517
25,5811
26,6013
27,6341
28,6923
29,7658
30,8511
31,9378
32,10151
33,10693
34,11486
35,12420
36,13400
37,14253
38,15025
39,15443
40,15880
41,16341
42,16823
43,17101
44,17446
45,17755
46,18027
47,17975
48,18079
49,18118
50,18331
51,18505
52,18475
53,18457
54,18271
55,18089
56,18192
57,18333
58,18368
59,18499
60,18355
61,18354
62,18409
63,18278
