#time,infected
0,7383
1,7396
2,7476
3,7550
4,7592
5,7658
6,7805
7,7784
8,7805
9,7926
10,8020
11,8081
12,8147
13,8185
14,8208
15,8238
16,8330
17,8521
18,8745
19,8960
20,9160
21,9259
22,9411
23,9759
24,10267
25,10743
26,11176
27,11529
28,11716
29,12011
30,12586
31,13209
32,13845
33,14389
34,14767
35,14965
36,15267
37,15595
38,16001
39,16336
40,16323
41,16138
42,16226
43,16093
44,15520
45,15590
46,15859
47,16090
48,16254
49,16343
50,16413
51,16854
52,17187
53,17449
54,17990
55,18492
56,18609
57,18985
58,20163
59,20578
60,20562
61,20543
62,20538
63,20529
64,20540
65,20445
66,20174
67,19902
68,19618
69,19435
70,19281
71,19053
72,18554
73,17941
74,17345
75,16805
76,16379
77,16136
78,15792
79,15186
80,14573
81,13735
82,12903
83,12419
84,12245
85,11960
86,11329
87,10646
88,10017
89,9446
90,8996
91,8750
92,8352
