#frankfurt 14.02.19.05,,
#time,infrected,dead
1,25330,619
2,25352,622
3,25424,622
4,25504,627
5,25562,627
6,25649,628
7,25720,630
8,25741,633
9,25768,633
10,25873,638
11,25978,639
12,26064,639
13,26187,640
14,26283,645
15,26305,646
16,26339,647
17,26472,649
18,26569,653
19,26648,655
20,26762,657
21,26848,658
22,26873,660
23,26902,661
24,27041,662
25,27152,664
26,27308,666
27,27462,667
28,27541,668
29,27620,669
30,27685,673
31,27898,675
32,28100,678
33,28213,679
34,28403,681
35,28498,681
36,28552,681
37,28614,681
38,28816,681
39,29032,682
40,29186,686
41,29380,687
42,29541,688
43,29603,688
44,29709,691
45,29946,698
46,30160,701
47,30407,706
48,30589,708
49,30678,708
50,30789,708
51,30878,708
52,30942,709
53,31187,712
54,31380,713
55,31556,714
56,31693,716
57,31755,716
58,31843,716
59,32104,719
60,32329,724
61,32505,729
62,32698,729
63,32878,731
64,32957,732
65,33044,734
66,33341,740
67,33627,745
68,33868,747
69,34137,748
70,34261,748
71,34467,750
72,34618,754
73,34904,756
74,35193,758
75,35417,758
76,35613,760
77,35776,761
78,35854,763
79,35919,766
80,36156,770
81,36324,772
82,36532,772
83,36672,772
84,36801,772
85,36868,772
86,36945,772
87,37148,772
88,37309,772
89,37424,772
90,37532,772
91,37650,772
92,37683,772
93,37727,772
94,37888,772
95,37962,772
