#day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0.014494,-0.037472,-0.00664201,0.070192,0.001904,-0.01472,0.111257,0.034602,0.0714,0.015273,0.102149,0.015998,-0.21053199,-0.12389899,-0.032986,-0.11354,-0.127705,-0.00563199,0.051504,-0.034624,0.121794,-0.033774,0.049218,-0.140538,0.031558,0.057555
1.05,0.61477,1.77196,1.15469229,0.852832,0.46278693,0.88448,2.118464,4.214953,2.098384,2.599638,4.448821,0.438022,6.53649201,2.66927801,1.653911,2.733832,7.116129,5.01891201,28.323352,3.630352,3.687214,5.758173,2.91435,6.111183,0.225066,0.8706
2.25,1.415138,3.78244,2.36342799,1.948528,0.964336,1.78368,4.63040726,9.378916,4.632114,5.67367216,9.882161,0.965552,14.12689401,5.74177271,3.715674,6.07158473,15.90497654,11.23977601,62.708032,7.949788,7.965718,12.653348,6.575352,13.553708,0.4234117,1.95466
4.65,3.11592,8.205496,5.19697835,4.13992,2.047072,4.10794126,10.35857694,20.67508506,10.20632,12.247934,21.563842,2.03896087,30.88724494,12.30884219,8.20960331,13.42729573,34.85038854,24.63856001,137.208172,17.374012,17.5032165,27.6848295,14.374878,29.927263,0.9894226,4.13826657
9.0402922069,6.623458652,17.654752,11.12742017,8.85670389,4.44806873,8.79061063,22.19444668,44.54816798,22.1603282,26.64783442,46.828873,4.46101165,66.41633001,26.63473667,17.77761169,28.9771106,75.32467782,53.35024001,296.2373170001,37.596826,37.6478395,59.816345,31.088148,64.460579,2.1988476,9.01653657
14.2047067761,11.821404163,31.41880739,19.6912731,15.74283358,7.82844169,15.5949367,39.36721768,78.80040669,39.35071174,47.19580316,82.688917,7.94041604,117.81950438,47.39114531,31.45129531,51.3289808,133.27534982,94.45579521,524.322361,66.523958,66.795148,105.876114,55.0279176,114.20145442,3.8339902,15.84611457
19.7329540852,18.625273244,49.621384,31.07814275,24.96806479,12.38643831,24.6848243,62.10382563,124.47688894,62.15428174,74.40871321,130.502309,12.48634848,185.70428611,74.73945167,49.65014707,81.02074327,210.07012145,148.91228161,826.143441,104.842591,105.42053133,167.02865494,86.8149654,180.09260908,6.0448191,24.84381257
25.1204332286,26.831268489,71.50468554,44.82191534,35.94045713,17.82384022,35.50937114,89.55130536,179.55403796,89.73945502,107.28909037,188.36738,17.99789017,267.87646294,107.68031909,71.59765883,116.9134492,302.74560609,214.68595521,1190.047971,151.047467,151.80070316,240.65380133,125.1758994,259.67800975,8.7345803,35.97865743
30.0706011798,36.1311,96.15626339,60.27213833,48.33041994,24.0474542,47.83410227,120.37543157,241.69065227,120.69643823,144.33165537,253.56746,24.23191861,360.21920667,144.96612851,96.3522029,157.33031287,406.99602827,288.73816321,1598.939124,202.978868,204.30151266,323.64106311,168.3438882,349.41005283,11.7968444,48.45309071
34.538585787,46.236487081,123.06576493,77.27607387,61.94835594,30.78108935,61.17413265,154.07538068,309.34983813,154.62243325,184.66588527,324.7170473,31.03017478,460.95999404,185.67202799,123.35148029,201.35384773,520.44054745,369.39405761,2043.552139,259.556935,261.40765633,413.98317822,215.4275574,447.05598083,15.0864804,62.02707057
38.5920983684,57.142983245,152.12493354,95.53614652,76.65537408,38.02135684,75.58409721,190.60811315,382.57770234,191.17311269,228.23737237,401.50825263,38.40412674,569.66998879,229.61180573,152.45268488,248.9840538,642.85121082,456.43830081,2522.645347,320.388992,323.20826966,511.38901706,266.2040634,552.49175167,18.656703,76.700597
42.31960298,68.949152326,183.55028247,115.24986209,92.49115752,45.84620011,91.19147746,229.899288,461.67137769,230.74477789,275.37256279,484.43913217,46.34230644,686.94241441,277.24478417,183.97266771,300.48984953,774.91187682,550.44512641,3038.7975990001,386.129499,389.9113355,616.5327745,321.0872586,666.48642625,22.5171876,92.47367
45.7979634455,81.756522489,217.66658154,136.65949443,109.72577217,54.3945618,108.20570734,272.70405326,547.50689363,273.80519441,326.5248539,574.61446503,55.00756009,814.28534514,328.85648807,218.27290671,356.44070933,918.04091854,652.49122241,3597.739675,457.334747,462.2893615,730.68622728,380.6024172,790.15638333,26.7501751,109.61730457
49.0868366162,95.762962489,254.92232247,160.12845425,128.66455786,63.76471842,126.61995746,319.34324905,641.36499494,320.77015382,382.33806995,673.11186367,64.44575987,953.38553697,385.37176937,255.625626,417.5484762,1073.98597427,763.72505601,4205.870946,534.888257,541.41197366,855.16711994,445.577244,924.99012792,31.3121262,128.59609786
52.2311392183,111.166341082,295.84332308,185.93588314,149.34278851,73.99225284,146.92821873,370.63462636,744.27540044,372.32831094,443.62832621,781.16288513,74.819752,1105.92259863,447.28098581,296.70469183,484.63572427,1244.74796318,885.67791681,4870.736939,619.771719,628.170527,991.44642317,516.7916916,1072.9227165,36.3481719,149.23969757
55.2647175831,128.166750267,340.89354031,214.36618949,172.21461578,85.30421769,169.36041316,427.08683415,857.61106854,429.30475223,510.98503927,900.11680887,86.31302517,1273.72623155,515.65795877,341.93405981,558.57248387,1432.55575727,1019.88109441,5600.742798,713.097715,723.69407116,1141.43946333,595.1848866,1235.64112142,41.8728253,172.05916057
58.2133889606,146.882022,390.75344431,245.73801606,197.57215178,97.73789025,194.15329215,489.54109952,982.91401598,492.25170087,585.54170253,1031.77569263,99.0058557,1459.23365519,591.24132839,392.02329771,640.38697267,1639.71421282,1168.05728961,6404.484693,815.946104,829.40877416,1306.95430856,681.7596252,1415.45252542,48.0505682,197.29452871
61.0971522375,167.690848919,446.08804,280.64124693,225.74829409,111.66604349,221.55498936,558.90125252,1121.92605567,562.14366841,668.16883895,1177.63370493,113.09549391,1664.92497267,675.33457727,447.57040607,731.10740833,1868.90810745,1332.14454081,7292.278028,929.691252,946.740804,1490.31999572,777.7415472,1614.71372808,54.8475367,225.30973643
