#time	Werra-Meissner-Kreis	Kassel-City	Kassel	Waldeck-Frankenberg	Hersfeld-Rotenburg	Schwalm-Eder-Kreis	Fulda	Marburg-Biedenkopf	Lahn-Dill-Kreis	Limburg-Weilburg	Giessen	Vogelsbergkreis	Main-Kinzig-Kreis	Wetteraukreis	Rheingau-Taunus-Kreis	Hochtaunuskreis	Wiesbaden	Main-Taunus-Kreis	Frankfurt-am-Main	Offenbach-am-Main	Offenbach	Gross-Gerau	Darmstadt	Darmstadt-Dieburg	Odenwaldkreis	Bergstrasse
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.05	0	-0.55701	-0.8556634637	0	0	0	-0.8074123636	3.214953	0	0	1.2244105	0	-0.346350799	-0.6663402487	0.653911	-0.5443613333	1.372043	-0.7490543995	2.1470391111	0.2101173333	-0.7541857333	-0.6612839412	0	2.0555915	0	-0.891175
2.25	0	-0.3695933333	-0.763657201	-0.025736	0	-0.10816	-0.6692566243	-0.0621084	0	4.67367216	0.4117372857	-0.517224	0.0090638579	-0.425822729	-0.0710815	-0.2410519087	0.7672196156	-0.5316759996	1.8503650909	0.135684	-0.68137128	-0.5133327692	0	1.2589513333	-0.5765883	-0.7828155556
4.65	2.11592	-0.3162086667	-0.6535347767	-0.172016	0.023536	0.026985315	-0.5856569224	0.0881623716	0.1340355556	0.1134485455	-0.2013391852	-0.3203463767	-0.1175072874	-0.1794105207	-0.0878218544	-0.5524234757	-0.058097607	-0.440032727	0.5245352444	-0.0855783158	-0.5511995769	-0.6045024357	1.395813	0.9951508667	-0.0105774	-0.7930866715
9.0402922069	1.2078195507	-0.1172624	-0.470122849	0.1070879862	-0.7219957044	1.1976526575	-0.445138833	0.4370376768	0.1663330632	0.2112652009	0.170721825	-0.4423735438	0.1451091381	0.0244129488	0.1111007306	-0.2932412049	0.2149141584	-0.1792270768	0.8286254136	0.2964422759	-0.3725360083	-0.349822337	1.590679	1.8026338696	-0.72514405	-0.7182332322
14.2047067761	2.9404680543	-0.0479149276	-0.3647976419	0.1244881129	-0.6272170624	0.11392405	-0.2126556464	0.6766043977	-0.0630782919	0.3109945322	0.4506827544	-0.205958396	0.1665297463	0.1558815929	0.0845274245	-0.2451620471	0.4645642837	0.0983232001	0.8080081414	0.622535561	-0.3638557333	-0.2039389925	1.5012689818	1.5954876005	-0.7444006533	-0.6227115579
19.7329540852	2.1042122073	0.0557741277	-0.2031245449	0.1349120359	-0.4838984037	-0.2285992406	-0.1607591131	0.2832668963	0.0359046957	0.3287270216	0.8643187	-0.167576768	0.0611673492	-0.0418019017	-0.0264677045	-0.213390842	0.5333585507	0.2619684882	0.6860070224	0.2943529753	-0.4362538432	-0.2862023293	0.4231961541	1.4012347877	-0.7481325375	-0.7077198521
25.1204332286	1.6831268489	0.1722079597	-0.1035616932	0.2835877546	-0.4250374123	-0.0895033041	-0.1133534123	0.3602578633	0.1078945064	0.3245566712	1.0254556989	-0.2500879096	0.1447712091	0.0454399912	-0.0820812971	-0.1209515098	0.7601488726	0.4805927946	0.6257485943	0.4116585701	-0.3976162573	-0.1869804009	0.669011992	1.6230101995	-0.6360591542	-0.6506926463
30.0706011798	0.3381888889	0.1726373584	-0.0432993916	0.1239632544	-0.2712892667	-0.0433179546	0.074780639	0.299412109	0.0315934891	0.5354431422	0.9505189231	-0.0307232556	0.2639270409	0.0899708911	-0.0267454253	-0.0288252292	0.7467640698	0.511718132	0.586249131	0.2301749576	-0.3733082434	-0.1059639141	0.6344066816	1.7730956574	-0.5786841286	-0.632931131
34.538585787	-0.242024802	-0.101709745	-0.1218627969	0.0868132621	-0.0946738426	-0.1503592688	0.2733502536	0.1087807818	-0.2070644449	0.5136547973	0.7940168359	0.1082205279	0.225957431	-0.0669747337	-0.2143217816	-0.0678062605	0.606297986	0.4600555637	0.4894694891	0.1044975957	-0.4165007671	-0.1154205594	0.3464222337	1.6297410637	-0.6491516186	-0.6147386921
