#time,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-0.707796,-0.9119526263,0,0,0,-0.8682368182,1.739535,0,0,0.4094095,0,-0.599364199,-0.7827226237,0.091612,-0.7025486667,0.536216,-0.8327967995,1.0433333333,-0.2261893333,-0.8492636,-0.7910754706,0,1.013638,0,-0.925051875
2,0,-0.6041493333,-0.858460001,-0.417056,0,-0.38019646,-0.7849602857,-0.4063726,0,2.633384,-0.0927871429,-0.713327545,-0.3528943764,-0.639966299,-0.39908925,-0.509970375,0.1312031111,-0.7011546662,0.8084050909,-0.2756908571,-0.79546472,-0.6936681154,0,0.4154651667,-0.6878554,-0.8731538889
3,0,-0.4456968889,-0.7161954191,0.28732,0,0.25152,-0.6027561875,-0.0137263077,1.1352416667,0.89901925,-0.2547871111,-0.358965,0.1282361612,-0.4126979992,-0.2817564286,-0.3662499077,-0.0607044783,-0.47216331,0.9287965455,0.0731243,-0.6269636552,-0.6121304545,1.2327818,1.6202474886,-0.3927557,-0.7716203118
6,3.118603244,-0.3517548235,-0.6176465856,-0.0748538967,0.384448,0.3775594925,-0.4490259896,0.2587984782,0.0589642677,0.505019,-0.1160449091,-0.07645932,0.012915408,-0.1676211435,0.0027294264,-0.3995090533,-0.0416894694,-0.3072486665,0.663766964,0.1697522,-0.4417718295,-0.50399772,1.1472432667,1.3587478724,-0.32387495,-0.7881219946
11,1.7050852247,-0.0663189565,-0.4811696177,0.07361422,-0.7426798552,0.1899625311,-0.4398801031,0.4573843205,-0.0382522143,-0.0519502941,0.3164856977,-0.458943435,-0.0507125816,-0.0982453886,-0.1389491324,-0.4510844083,0.1263051717,-0.1715439178,0.5469562284,0.197784,-0.4419613415,-0.415294621,1.0905666333,1.3683280303,-0.7999710231,-0.7125951353
17,2.4048169592,-0.1182641951,-0.3313863841,-0.0881319605,-0.5897861818,-0.1848701495,-0.2910439384,0.375966558,-0.0540484006,0.2925461429,0.5633886939,-0.3492745371,-0.0452582675,-0.0907651242,0.00492457,-0.3497244777,0.3576210804,0.0766322377,0.7048097119,0.3673199821,-0.4427741208,-0.3376471739,0.7615663167,1.4359729198,-0.7900154048,-0.6736159591
23,1.9746542624,-0.0108943736,-0.1939019705,0.1585587654,-0.5390536037,-0.189746895,-0.2036367684,0.2636412262,-0.0735652199,0.2976635477,0.7801124009,-0.2650825011,-0.0209066572,-0.0727315121,-0.0270858354,-0.2755244842,0.5231323725,0.2693347176,0.6439028859,0.2719081196,-0.4681314057,-0.2690936754,0.539210581,1.3952925199,-0.7168890583,-0.6838070731
28,0.544162538,0.0861268121,-0.1680885675,0.1934567615,-0.3882010141,-0.135577474,-0.0482515335,0.1166858744,-0.0471238716,0.3195070054,0.7335916134,-0.1787949058,0.1680675307,0.0345665725,-0.1195157573,-0.1112044269,0.6159270071,0.4781345611,0.4827946401,0.2329591493,-0.4289304794,-0.1893727795,0.5220734467,1.5158226467,-0.6314931615,-0.6475122985
34,-0.302926082,-0.1552492358,-0.204726615,0.0245143882,-0.2358591085,-0.2826466386,0.0757435328,-0.0361662106,-0.3234637903,0.2787057675,0.5403763219,-0.0649469286,0.035319179,-0.2002064158,-0.3053492483,-0.2127380812,0.4091151841,0.2333694736,0.2877188896,-0.0590463562,-0.4889771566,-0.2529639125,0.2046722715,1.2745036491,-0.681132275,-0.6750978447
39,-0.2819934555,-0.5689154349,-0.3533025806,-0.1990234447,-0.2674023462,-0.4303014463,0.0197960942,-0.1010524602,-0.3420760626,0.2074018524,0.3285857438,-0.2606437671,0.0203991278,-0.2787207589,-0.4421898924,-0.3144802544,0.3090911763,0.0731064716,0.2395347894,-0.1847134692,-0.4949470589,-0.2913709497,0.1154554116,1.0927183286,-0.7217051897,-0.7395087966
43,-0.2186667928,-0.5444022506,-0.3637600116,-0.2364837657,-0.3353107144,-0.4203303014,0.0007111003,-0.1411324966,-0.3783331399,0.2292419819,0.2631388294,-0.3172700993,-0.0314986592,-0.2815093416,-0.4334931883,-0.3206512499,0.2617847562,0.0225904404,0.1119159226,-0.1771985446,-0.5048412335,-0.2502291074,0.0065267468,0.7692450195,-0.754440537,-0.7822085695
47,-0.3023419557,-0.6122446343,-0.5998809117,-0.4210430184,-0.4975928236,-0.5226111617,-0.2241776351,-0.3296472983,-0.5491213358,0.1657798037,-0.0190444387,-0.4641438257,-0.2117737427,-0.4022206005,-0.5364976863,-0.4243456788,0.0469575179,-0.1204164379,-0.0528470115,-0.2781961866,-0.5559116158,-0.3720109987,-0.2047573427,0.3645745339,-0.8575031464,-0.8273555807
50,-0.3328907541,-0.6201853089,-0.6047873912,-0.4518082702,-0.5630677508,-0.5365609607,-0.3293828529,-0.4053587633,-0.5989755547,-0.0336969446,-0.1275793061,-0.5324153092,-0.299821322,-0.4136804617,-0.5575119917,-0.4495610744,-0.0507721399,-0.1649636163,-0.098532477,-0.3284865783,-0.5944984261,-0.3547265961,-0.2599922977,0.2233587325,-0.8772040096,-0.8297622133
