#time,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
1,0,-0.657534,-0.8823267512,0,0,0,-0.847962,2.477244,0,0,0.81691,0,-0.512167491,-0.7439284987,0.279045,-0.623455,0.9076946667,-0.7969071995,1.4678355556,-0.0516666667,-0.8017246667,-0.7261797059,0,1.4601895,0,-0.925051875
2,0,-0.5036253333,-0.811058601,-0.260528,0,-0.288,-0.7371696429,-0.2588308,0,3.494839,0.1012607143,-0.62273,-0.2017806421,-0.546860399,-0.2585145,-0.391329875,0.4041836467,-0.6313693329,1.2599210909,-0.1074011429,-0.75267968,-0.6194123846,0,0.8123998333,-0.67818,-0.8413203811
4,1.415598,-0.3603936,-0.712680215,0.06728477,0.565856,0.0718568767,-0.5812532189,0.0682279987,1.6463188267,0.0737298889,-0.32217988,-0.4671373333,0.0495748235,-0.2651609577,-0.0930483743,-0.5455054839,-0.0628973448,-0.4478028797,0.6465548308,0.131512,-0.5857457576,-0.6199466082,1.2382796,1.5975378889,-0.2185985,-0.7931415625
8,0.8044241977,-0.2506875789,-0.5719480786,-0.1088269575,-0.6996461408,0.7821994925,-0.5147811622,0.15924,0.2733571593,0.13047918,0.1056527941,-0.0986260975,0.0136372902,-0.1687221104,0.1984586867,-0.3839758824,0.1655587885,-0.2453678033,0.6365035411,0.1653691154,-0.39144272,-0.4391575465,1.086628,1.474149381,-0.7515334143,-0.7531673103
12,2.308572578,0.019264,-0.3846130026,0.2163164764,-0.6848274286,0.0171438362,-0.3368442432,0.6263277556,-0.0760204722,0.1710145294,0.3709915294,-0.332336235,0.1159013402,-0.0256370641,-0.0156282478,-0.3617088912,0.3090965063,-0.0727783813,0.6778230492,0.3703290244,-0.3863540217,-0.3118030962,1.32560543,1.4721492223,-0.7497333692,-0.6572240221
18,2.2452784978,-0.0402700444,-0.2876291832,0.0848204565,-0.5491336712,-0.2589325186,-0.2042040519,0.3736558081,-0.095546083,0.4115806133,0.8375906774,-0.2214877671,0.0662855761,-0.0129797438,0.0557646451,-0.2783393074,0.5279082128,0.2141562618,0.793966801,0.4756710806,-0.3955793728,-0.2712722595,0.578174425,1.4176126718,-0.7487797714,-0.6692170541
23,2.4328543556,0.1443102638,-0.0670695423,0.3410829062,-0.4667017617,-0.06246624,-0.0781610333,0.4625525355,0.07178859,0.5019757369,1.0586262927,-0.1519713774,0.1323213972,0.0723067899,0.1248022263,-0.161882704,0.7619400868,0.4684169772,0.9014985526,0.4710915978,-0.3842391705,-0.1544444911,0.7799928381,1.7706674911,-0.6727450458,-0.6342676428
29,0.7385209076,0.2212327864,-0.082147477,0.2639613071,-0.31269331,-0.0282299411,0.0099547899,0.2270888218,0.0406428795,0.4661545246,0.9159842975,-0.1139353792,0.2385077329,0.0687675828,-0.052632786,-0.0663020966,0.7723582446,0.4749843129,0.616073547,0.2212873553,-0.3833961892,-0.1420760868,0.6378144532,1.8019006761,-0.601781437,-0.6452068057
33,-0.1599978304,0.0102459469,-0.0576034182,0.12573237,-0.161204845,-0.1536499982,0.1810626441,0.1121978691,-0.1520023511,0.4043934642,0.7505294992,0.0280261382,0.2503658515,-0.0689396908,-0.1528290047,-0.0889318263,0.6312623667,0.3544200348,0.4826947662,0.1198787581,-0.4099490746,-0.1027395479,0.4273464671,1.7101711678,-0.5752318576,-0.6431147081
37,-0.1501611892,-0.0923212739,-0.1233973953,0.0112944194,-0.1312933837,-0.1664815369,0.2486780313,0.1982246361,-0.1824785586,0.5962080569,0.9485083435,0.1600462413,0.3108401569,-0.0265858476,-0.1883073843,-0.085316023,0.7112261178,0.3406857931,0.5272540568,0.0800875791,-0.3731541857,-0.106005805,0.3628157869,1.7533825864,-0.650183654,-0.6335990627
41,-0.1089707523,-0.496634746,-0.2401508106,-0.1356070561,-0.1162679206,-0.3227358995,0.268612003,-0.0214677588,-0.2957447926,0.4199357208,0.4789668776,-0.0894863242,0.1451487167,-0.1673438741,-0.3569823588,-0.2359755425,0.4422003785,0.2574837928,0.3586074633,-0.0510379505,-0.4297585558,-0.1677170674,0.2215379944,1.3286222818,-0.7047979458,-0.7228534757
45,-0.1187399422,-0.5188987685,-0.4959376747,-0.2670828907,-0.3383687599,-0.4240370929,0.0018054086,-0.1187453475,-0.3747316349,0.328889562,0.33221512,-0.3139703209,0.0014851287,-0.2469211136,-0.3986315914,-0.3017590701,0.2804451715,0.1394679043,0.240125911,-0.0867222947,-0.4555131528,-0.2205841752,0.040185672,0.8273114327,-0.7246968337,-0.7571822674
48,-0.1318296937,-0.5405368683,-0.5133533856,-0.3274596948,-0.4224581172,-0.4497678331,-0.1486631001,-0.1917448337,-0.5005802202,0.2504943814,0.1139808528,-0.3931707495,-0.1138671932,-0.2896039194,-0.4711846783,-0.3411268698,0.1604335947,0.0931221847,0.080578806,-0.1786557661,-0.4715834496,-0.2573734938,-0.0957595864,0.528445477,-0.8440659005,-0.7971152189
51,-0.1446272716,-0.5240053112,-0.5153050155,-0.3832997354,-0.4769239353,-0.4298632088,-0.2570056409,-0.3158515287,-0.5044444359,0.1023621254,0.0266253551,-0.433278871,-0.1550223404,-0.3049504146,-0.4738951742,-0.3422102096,0.1425637697,0.0027450534,0.0958460179,-0.1816108091,-0.5181357041,-0.2185747227,-0.0966994418,0.4441135074,-0.8566376921,-0.8152715874
54,-0.1611284624,-0.5659731992,-0.5934280881,-0.4994451899,-0.554300914,-0.5031702912,-0.2910607822,-0.4151006467,-0.5820847947,-0.0008070651,-0.0499822977,-0.5117874062,-0.2074780955,-0.3798636518,-0.503138363,-0.3818276581,0.0211440343,-0.0557117429,0.0518341331,-0.2511805928,-0.5725441824,-0.3041562264,-0.1678250149,0.2309971254,-0.8771947874,-0.8274260259
57,-0.1724798299,-0.5713389317,-0.5900711247,-0.5271760986,-0.5763550825,-0.5432292551,-0.2928933657,-0.397322648,-0.5634790452,0.0425052374,-0.0967835414,-0.5063010265,-0.2247944258,-0.3858374058,-0.4850972919,-0.3370014446,0.0070994144,-0.0303429435,0.0519777141,-0.2326972905,-0.5798690332,-0.2634709642,-0.1887644278,0.1999004575,-0.872863061,-0.8246118257
60,-0.242194338,-0.5779359229,-0.609192944,-0.5738477201,-0.6066655808,-0.5370155797,-0.3047514055,-0.4126869177,-0.5972758848,-0.1223553178,-0.1828413649,-0.5057700654,-0.259961304,-0.4333200349,-0.5045544655,-0.3589987453,-0.102198909,-0.045886918,0.018149949,-0.249022759,-0.6071785046,-0.3036260043,-0.2006123743,0.1493631957,-0.8773548664,-0.8234117482
