#day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0.014494,-0.037472,-0.00664201,0.070192,0.001904,-0.01472,0.111257,0.034602,0.0714,0.015273,0.102149,0.015998,-0.21053199,-0.12389899,-0.032986,-0.11354,-0.127705,-0.00563199,0.051504,-0.034624,0.121794,-0.033774,0.049218,-0.140538,0.031558,0.057555
1.05,3.812536593,10.014928,6.37411312,5.079088,2.528288,5.0208,12.600545,25.116708,12.486677,15.00459,26.453848,2.548142,37.74147801,15.08339801,10.088396,16.27466773,42.499472,30.14163201,168.154384,21.300772,21.21719566,33.890487,17.558358,36.476685,1.2603338,4.94356829
2.1844620354,12.520244,33.336496,20.84997399,16.66216,8.30288,16.53056,41.593535,83.395719,41.624572,49.979663,87.578923,8.350972,124.60941201,50.15328701,33.330088,54.23962773,141.15238609,99.88708801,556.319216,70.516164,70.71711,112.219675,58.306902,120.726068,4.1000637,16.60495657
2.9631813526,23.925488,63.694744,39.8131674,32.001904,15.882032,31.81240708,79.730468,159.871552,79.883895,95.636778,167.720688,15.95657844,238.87998374,95.78759213,63.70762207,103.83135673,270.123025,191.16630401,1063.397733,134.915028,135.251212,214.77391117,111.471018,231.173139,7.9363598,32.037325
3.9291740768,50.139763244,133.659448,83.66209582,67.07740372,33.44472158,66.69909063,167.37459431,335.446294,167.550953,200.57106495,352.182581,33.566906,500.76314728,201.28899095,133.80756407,217.9951552,566.51234482,401.00083201,2227.414664,282.790265,283.929226,450.29776656,233.9076588,485.112092,16.5716543,67.01374657
5.1061414823,118.869142,316.613128,198.40508475,159.12248158,79.161936,157.87114126,396.21966842,794.52158011,397.15886494,474.85833695,834.02928333,79.57899004,1185.16439428,476.89486907,316.96976929,516.36810333,1338.25927482,948.24545281,5253.935095,667.710914,671.96576933,1064.33608422,553.497216,1148.092219,39.2894935,158.91106143
5.9160946961,212.813077081,566.71684,355.49595776,285.1297262,141.73696022,282.51164354,709.12876279,1421.02094836,711.30240448,849.21947611,1491.78942373,142.61194422,2119.06258385,853.83100169,567.38471998,924.2857798,2387.98200254,1693.76815041,9355.836393,1190.755346,1201.99516416,1900.79742478,989.0450322,2051.4659035,70.274962,284.70073786
7.0783844678,487.135503674,1295.80967939,814.41524527,653.60214975,324.75153825,646.49414481,1620.87417557,3239.57096996,1627.42121156,1936.48450148,3401.9978231,327.04790026,4829.30067048,1954.05100787,1297.32022502,2111.8771848,5414.43558527,3850.56562561,21100.4014119999,2696.831421,2745.43577033,4320.16110617,2251.1993478,4666.71957167,160.8705699,652.824284
8.0487488958,967.247364696,2568.47444985,1620.01257192,1299.62737735,646.18688203,1284.37296607,3210.77775379,6382.45721296,3227.90698838,3819.82462632,6706.3922109,651.04306461,9521.26978624,3876.40852517,2570.72217626,4178.37323253,10583.392378,7556.35823681,40884.868719,5263.132696,5433.16821366,8478.38066428,4426.916919,9165.40342475,320.0163868,1300.11651
9.0513571031,1952.088331393,5165.58158339,3280.38354429,2628.79260552,1309.84305082,2597.08203746,6447.3579581,12667.67641721,6496.39919815,7605.96469105,13327.55994613,1319.88000274,18944.7896056,7804.12436609,5166.05337498,8365.7975894,20708.24606273,14893.62806081,78682.037183,10270.177095,10894.91626433,16718.86559722,8761.0339302,18087.35354425,649.3089504,2638.92286671
9.9045996205,3517.987573111,9258.56316308,5942.20389447,4752.02217307,2377.73760383,4697.55632607,11526.088579,22228.85637129,11650.75964041,13420.87662053,23433.87117983,2394.74302022,33397.03651721,14002.88552687,9246.17078471,14881.201656,35608.40735127,25879.21928321,132132.353652,17594.009894,19441.13886883,29080.39743372,15316.2012678,31478.71358517,1181.5381913,4798.22326429
11.1095657783,7877.35121763,20425.06292247,13495.13243683,10720.48221239,5436.30244484,10639.25593924,25242.53520405,46337.69366623,25723.67427059,28399.57505416,49103.0430646,5459.582227,70526.18118551,30955.08019877,20312.58104533,32137.96858047,70763.84818927,52703.15417601,248987.35145,34673.059838001,42389.25161483,59396.04561356,31661.1585492,64330.76318767,2725.4127431,11010.97112429
11.9729889308,13573.699962889,34532.87945662,23689.89637244,18644.28231155,9635.10182017,18624.40462582,42283.3626671,73217.66822094,43514.59729625,45663.5231759,78039.96145887,9630.241287826,113157.21659316,52443.68605048,34157.44900836,52903.820939,106398.09125782,81246.55980481,355894.956837,51711.598708001,70645.50223316,91870.38921456,49595.9775774,99514.87838208,4896.2290264,19603.69528143
