Landkreis,Flaeche(km2)
Bergstrasse,719.52
Darmstadt-Dieburg,658.65
Darmstadt,122.09
Frankfurt-am-Main,248.31
Fulda,1380.4
Giessen,854.67
Gross-Gerau,453.04
Hersfeld-Totenburg,1097.12
Hochtaunuskries,482.02
Kassel,1292.92
Kassel-city,106.78
Lahn-Dill-Kries,1066.52
Limburg-Weilburg,738.48
Main-Kinzig-Kreis,1397.55
Main-Taunus-Kries,222.39
Marburg-Biedenkopf,1262.55
Odenwaldkreis,623.98
Offenbach,356.3
Offenbach-am-Main,44.89
Rheingau-Taunus-Kreis,811.48
Schwalm-Eder-Kreis,1538.51
Vogelbergkreis,1458.99
Waldeck-Frankenberg,1848.44
Werra-Meissner-Kreis,1024.7
Wetteraukreis,1100.69
Wiesbaden,203.93
Total,21114.9
